👎 :-1:
👍 :+1:
💯 :100:
🔢 :1234:
🎱 :8ball:
🅰️ :a:
🆎 :ab:
🔤 :abc:
🔡 :abcd:
🉑 :accept:
🚡 :aerial_tramway:
✈ :airplane:
✈️ :airplane:
⏰ :alarm_clock:
👾 :alien_monster:
👽 :alien:
🚑 :ambulance:
🏈 :american_football:
⚓ :anchor:
👼 :angel:
💢 :anger_symbol:
💢 :anger:
😠 :angry_face:
😠 :angry:
😧 :anguished_face:
😧 :anguished:
🐜 :ant:
📶 :antenna_with_bars:
🔄 :anticlockwise_downwards_and_upwards:
🍎 :apple:
♒ :aquarius:
♈ :aries:
◀️ :arrow_backward:
⏬ :arrow_double_down:
⏫ :arrow_double_up:
🔽 :arrow_down_small:
⬇️ :arrow_down:
▶️ :arrow_forward:
⤵️ :arrow_heading_down:
⤴️ :arrow_heading_up:
⬅️ :arrow_left:
↙️ :arrow_lower_left:
↘️ :arrow_lower_right:
⤵ :arrow_pointing_rightwards_then_curving_downwards:
⤴ :arrow_pointing_rightwards_then_curving_upwards:
↪️ :arrow_right_hook:
➡️ :arrow_right:
↕️ :arrow_up_down:
🔼 :arrow_up_small:
⬆️ :arrow_up:
↖️ :arrow_upper_left:
↗️ :arrow_upper_right:
🔃 :arrows_clockwise:
🔄 :arrows_counterclockwise:
🎨 :art:
🚛 :articulated_lorry:
🎨 :artist_palette:
😲 :astonished_face:
😲 :astonished:
👟 :athletic_shoe:
🏧 :atm:
🍆 :aubergine:
🏧 :automated_teller_machine:
🚗 :automobile:
🅱️ :b:
👼 :baby_angel:
🍼 :baby_bottle:
🐤 :baby_chick:
🚼 :baby_symbol:
👶 :baby:
🔙 :back_with_leftwards_arrow_above:
🔙 :back:
🐫 :bactrian_camel:
🛄 :baggage_claim:
🎈 :balloon:
☑ :ballot_box_with_check:
☑️ :ballot_box_with_check:
🎍 :bamboo:
🍌 :banana:
‼️ :bangbang:
🏦 :bank:
💵 :banknote_with_dollar_sign:
💶 :banknote_with_euro_sign:
💷 :banknote_with_pound_sign:
💴 :banknote_with_yen_sign:
📊 :bar_chart:
💈 :barber_pole:
💈 :barber:
⚾ :baseball:
🏀 :basketball_and_hoop:
🏀 :basketball:
🛀 :bath:
🛁 :bathtub:
🔋 :battery:
🐻 :bear_face:
🐻 :bear:
💓 :beating_heart:
🍺 :beer_mug:
🍺 :beer:
🍻 :beers:
🐞 :beetle:
🔰 :beginner:
🔕 :bell_with_cancellation_stroke:
🔔 :bell:
🍱 :bento_box:
🍱 :bento:
🚲 :bicycle:
🚴 :bicyclist:
🚲 :bike:
👙 :bikini:
🎱 :billiards:
🐦 :bird:
🎂 :birthday_cake:
🎂 :birthday:
♣ :black_club_suit:
♦ :black_diamond_suit:
⏬ :black_down_pointing_double_triangle:
♥ :black_heart_suit:
🃏 :black_joker:
⬛ :black_large_square:
⏪ :black_left_pointing_double_triangle:
◀ :black_left_pointing_triangle:
◾ :black_medium_small_square:
◼ :black_medium_square:
✒ :black_nib:
✒️ :black_nib:
❓ :black_question_mark_ornament:
⏩ :black_right_pointing_double_triangle:
▶ :black_right_pointing_triangle:
➡ :black_rightwards_arrow:
✂ :black_scissors:
▪ :black_small_square:
♠ :black_spade_suit:
🔲 :black_square_button:
☀ :black_sun_with_rays:
☎ :black_telephone:
♻ :black_universal_recycling_symbol:
⏫ :black_up_pointing_double_triangle:
🌼 :blossom:
🐡 :blowfish:
📘 :blue_book:
🚙 :blue_car:
💙 :blue_heart:
😊 :blush:
🐗 :boar:
⛵ :boat:
💣 :bomb:
📖 :book:
📑 :bookmark_tabs:
🔖 :bookmark:
📚 :books:
💥 :boom:
👢 :boot:
💐 :bouquet:
🙇 :bow:
🎳 :bowling:
👦 :boy:
🍞 :bread:
👰 :bride_with_veil:
🌉 :bridge_at_night:
💼 :briefcase:
💔 :broken_heart:
🐛 :bug:
💡 :bulb:
🚅 :bullettrain_front:
🚄 :bullettrain_side:
🚏 :bus_stop:
🚌 :bus:
🚏 :busstop:
👤 :bust_in_silhouette:
👥 :busts_in_silhouette:
🌵 :cactus:
🍰 :cake:
📅 :calendar:
📆 :calendar:
📲 :calling:
🐫 :camel:
📷 :camera:
♋ :cancer:
🍬 :candy:
🔠 :capital_abcd:
♑ :capricorn:
🚗 :car:
📇 :card_index:
🎠 :carousel_horse:
🎏 :carp_streamer:
😹 :cat_face_with_tears_of_joy:
😼 :cat_face_with_wry_smile:
🐱 :cat_face:
🐈 :cat:
🐱 :cat:
🐈 :cat2:
💿 :cd:
📉 :chart_with_downwards_trend:
